"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"LIFR",3977,"No","No","No"
"LMNA",4000,"No","No","No"
"LRIG3",121227,"No","No","No"
"LRP5",4041,"Yes","Yes","Yes"
"LRP6",4040,"Yes","Yes","No"
"LRRK2",120892,"No","No","No"
"LTK",4058,"No","No","No"
"MAGED1",9500,"No","No","No"
"MAML2",84441,"No","No","No"
"MAP3K6",9064,"No","No","No"
"MAP3K7",6885,"No","No","No"
"MBD6",114785,"Yes","No","Yes"
"MDS2",259283,"No","No","No"
"MEF2C",4208,"No","No","No"
"MEF2D",4209,"Yes","Yes","No"
"MERTK",10461,"No","No","No"
"MIB1",57534,"No","No","No"
"MIDEAS",91748,"Yes","No","Yes"
"MKI67",4288,"No","No","No"
"MKNK1",8569,"No","No","No"
"MLLT11",10962,"No","No","No"
"MNX1",3110,"No","No","No"
"MTCP1",4515,"No","No","No"
"MYO18A",399687,"No","No","No"
"MYO5A",4644,"No","No","No"
"NAB2",4665,"No","No","No"
"NACA",4666,"No","No","No"
"NBEAP1",606,"No","No","No"
"NCOA1",8648,"No","No","No"
"NCOA4",8031,"No","No","No"
"NFATC2",4773,"No","No","No"
"NFIB",4781,"No","No","No"
"NFKBIE",4794,"No","No","No"
"NOD1",10392,"No","No","No"
"NONO",4841,"No","No","No"
"NUTM2B",729262,"No","No","No"
"OLIG2",10215,"No","No","No"
"OMD",4958,"No","No","No"
"PAG1",55824,"No","No","No"
"PAK3",5063,"No","No","No"
"PARP2",10038,"No","No","No"
"PARP3",10039,"No","No","No"
"PASK",23178,"No","No","No"
"PATZ1",23598,"No","No","No"
"PC",5091,"No","No","No"
"PCLO",27445,"No","No","No"
"PCSK7",9159,"No","No","No"
"PDCD11",22984,"No","No","No"
"PHF1",5252,"No","No","No"
"PIK3C2B",5287,"No","No","No"
"POLQ",10721,"No","No","No"
"POU5F1",5460,"No","No","No"
"PPFIBP1",8496,"No","No","No"
"PPP1CB",5500,"No","No","No"
"PRCC",5546,"No","No","No"
"PRF1",5551,"No","No","No"
"PRKDC",5591,"No","No","No"
"PRSS1",5644,"Yes","No","No"
"PRSS8",5652,"No","No","No"
"PTK6",5753,"No","No","No"
"PTK7",5754,"No","No","No"
"PTPN13",5783,"No","No","No"
"PTPN6",5777,"No","No","No"
"PTPRB",5787,"No","No","No"
"PTPRC",5788,"No","No","No"
"PTPRK",5796,"No","No","No"
"RALGDS",5900,"No","No","No"
"RANBP2",5903,"No","No","No"
"RASGEF1A",221002,"No","No","No"
"RMI2",116028,"No","No","No"
"RNF217-AS1",7955,"No","No","No"
"RPL10",6134,"No","No","No"
"RPL5",6125,"No","No","No"
"RSPO3",84870,"No","No","No"
"RUNX2",860,"No","No","No"
"S1PR2",9294,"No","No","No"
"SALL4",57167,"No","No","No"
